"agencies_initials";"agencies_names"
"ABGF ";" Agencia Brasileira Gestora de Fundos Garantidores e Garantias S.A."
"AEB ";" Agência Espacial Brasileira"
"AGU ";" Advocacia-Geral da União"
"AMAZUL ";" Amazônia Azul Tecnologias de Defesa S.A."
"AN ";" Arquivo Nacional"
"ANA ";" Agência Nacional de Águas"
"ANAC ";" Agência Nacional de Aviação Civil"
"ANATEL ";" Agência Nacional de Telecomunicações"
"ANCINE ";" Agência Nacional do Cinema"
"ANEEL ";" Agência Nacional de Energia Elétrica"
"ANM ";" Agência Nacional de Mineração"
"ANP ";" Agência Nacional do Petróleo, Gás Natural e Biocombustíveis"
"ANPD ";" Autoridade Nacional de Proteção de Dados"
"ANS ";" Agência Nacional de Saúde Suplementar"
"ANTAQ ";" Agência Nacional de Transportes Aquaviários"
"ANTT ";" Agência Nacional de Transportes Terrestres"
"ANVISA ";" Agência Nacional de Vigilância Sanitária"
"Autoridade Portuária de Santos S.A.";""
"BACEN ";" Banco Central do Brasil"
"BASA ";" Banco da Amazônia S.A."
"BB ";" Banco do Brasil S.A."
"BB Tecnologia e Serviços";""
"BNB ";" Banco do Nordeste do Brasil S.A."
"BNDES ";" Banco Nacional de Desenvolvimento Econômico e Social"
"CADE ";" Conselho Administrativo de Defesa Econômica"
"CAPES ";" Coordenação de Aperfeiçoamento de Pessoal de Nível Superior"
"CBPF ";" Centro Brasileiro de Pesquisas Físicas"
"CBTU ";" Companhia Brasileira de Trens Urbanos"
"CC-PR ";" Casa Civil da Presidência da República"
"CDC ";" Companhia Docas do Ceará"
"CDP ";" Companhia Docas do Pará"
"CDRJ ";" Companhia Docas do Rio de Janeiro"
"CEAGESP ";" Companhia de Entrepostos e Armazéns Gerais de São Paulo"
"CEASA-MG ";" Centrais de Abastecimento de Minas Gerais S.A."
"CEF ";" Caixa Econômica Federal"
"CEFET-MG ";" Centro Federal de Educação Tecnológica de Minas Gerais"
"CEFET-RJ ";" Centro Federal de Educação Tecnológica Celso Suckow da Fonseca"
"CEITEC/S.A. ";" Centro Nacional de Tecnologia Eletrônica Avançada S.A."
"CETEM ";" Centro de Tecnologia Mineral"
"CETENE ";" Centro de Tecnologias Estratégicas do Nordeste"
"CEX ";" Comando do Exército"
"CGU ";" Controladoria-Geral da União"
"CHESF ";" Companhia Hidro Elétrica do São Francisco"
"CMAR ";" Comando da Marinha"
"CMB ";" Casa da Moeda do Brasil"
"CNEN ";" Comissão Nacional de Energia Nuclear"
"CNPQ ";" Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"COAF ";" Conselho de Controle de Atividades Financeiras"
"CODEBA ";" Companhia das Docas do Estado da Bahia"
"CODERN ";" Companhia Docas do Rio Grande do Norte"
"CODESA ";" Companhia Docas do Espírito Santo"
"CODEVASF ";" Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba"
"COMAER ";" Comando da Aeronáutica"
"CGT ELETROSUL"; "Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil "
"CONAB ";" Companhia Nacional de Abastecimento"
"CP II ";" Colégio Pedro II"
"CPRM ";" Companhia de Pesquisa de Recursos Minerais"
"CTI ";" Centro de Tecnologia da Informação Renato Archer"
"CVM ";" Comissão de Valores Mobiliários"
"DATAPREV ";" Empresa de Tecnologia e Informações da Previdência"
"DEPEN ";" Departamento Penitenciário Nacional"
"DNIT ";" Departamento Nacional de Infraestrutura de Transportes"
"DNOCS ";" Departamento Nacional de Obras Contra as Secas"
"DPF ";" Departamento de Polícia Federal"
"DPRF ";" Departamento de Polícia Rodoviária Federal"
"DPU ";" Defensoria Pública da União"
"EBC ";" Empresa Brasil de Comunicação S.A."
"EBSERH ";" sede - Empresa Brasileira de Serviços Hospitalares"
"EBSERH-CHU-UFPA (HUJBB e HUBFS)";"  Complexo Hospitalar Universitário da Universidade Federal do Pará – Hospitais Universitários João de Barros Barreto e Bettina Ferro de Souza"
"EBSERH-CHC-UFPR (HC e MVFA) ";"  Complexo Hospitalar de Clínicas da Universidade Federal do Paraná"
"EBSERH-HU-UFMA ";" Hospital Universitário da Universidade Federal do Maranhão"
"EBSERH-HUB-UNB ";" Hospital Universitário de Brasília"
"EBSERH-MCO-UFBA ";" Maternidade Climério de Oliveira"
"EBSERH-CHC-UFC (HUWC)";" Hospital Universitário Walter Cântídio"
"EBSERH-HUMAP-UFMS";" Hospital Universitário Maria Aparecida Pedrossian"
"EBSERH-HULW-UFPB";" Hospital Universitário Lauro Wanderley"
"EBSERH-HUGV-UFAM ";" Hospital Universitário Getúlio Vargas"
"EBSERH-HUOL-UFRN ";" Hospital Universitário Onofre Lopes"
"EBSERH-MEJC-UFRN ";" Maternidade Escola Januário Cicco"
"EBSERH-HUCAM-UFES ";" Hospital Universitário Cassiano Antônio Moraes"
"EBSERH-HUPAA-UFAL ";" Hospital Universitário Professor Alberto Antunes"
"EBSERH-HUPES-UFBA ";" Complexo Hospitalar Universitário Professor Edgard Santos"
"EBSERH-HUJM-UFMT ";" Hospital Universitário Julio Muller"
"EBSERH-HUAB-UFRN ";" Hospital Universitário Ana Bezerra"
"EBSERH-HU-UFPI ";" Hospital Universitário da Universidade Federal do Piauí"
"EBSERH-HC-UFTM ";" Hospital das Clínicas da Universidade Federal do Triângulo Mineiro"
"EBSERH-CHC-UFC (MEAC)";" Maternidade Escola Assis Chateaubriand"
"EBSERH-HU-UFS ";" Hospital Universitário da Universidade Federal de Sergipe"
"EBSERH-HU-UFJF ";" Hospital Universitário de Juiz de Fora"
"EBSERH-HC-UFG ";" Hospital das Clínicas da Universidade Federal de Goiás"
"EBSERH-HU-FURG ";" Hospital Universitário Dr. Miguel Riet Côrrea Júnior"
"EBSERH-HC-UFMG ";" Hospital das Clínicas da Universidade Federal de Minas Gerais"
"EBSERH-HU-UFSCAR ";" Hospital Universitário da Universidade Federal de São Carlos"
"EBSERH-HDT/UFT ";" Hospital de Doenças Tropicais"
"EBSERH-HUSM-UFSM ";" Hospital Universitário de Santa Maria"
"EBSERH-HU-UNIVASF ";" Hospital de Ensino Dr. Washington Antônio de Barros"
"EBSERH-HUL-UFS ";" Hospital Regional de Lagarto"
"EBSERH-HUGG - UNIRIO";" Hospital Universitário Gaffrée e Guinle"
"EBSERH-HUJB-UFCG ";" Hospital Universitário Júlio Maria Bandeira de Mello"
"EBSERH-HU-UFSC ";" Hospital Universitário Professor Polydoro Ernani de São Thiago"
"EBSERH-HUAC-UFCG ";" Hospital Universitário Alcides Carneiro"
"EBSERH-HC-UFU ";" Hospital de Clínicas de Uberlândia"
"EBSERH-HUAP-UFF ";" Hospital Universitário Antônio Pedro"
"EBSERH-HC-UFPE ";" Hospital das Clínicas de Pernambuco"
"EBSERH-HE-UFPEL ";" Hospital Escola da Universidade Federal de Pelotas"
"EBSERH-HU-UFGD ";" Hospital Universitário de Grande Dourados"
"EBSERH-HUGV-UFAM ";" Hospital Universitário Getúlio Vargas"
"EBSERH–CHC-UFPR (HC e MVFA)"; "Complexo Hospitalar de Clínicas da Universidade Federal do Paraná"
"EBSERH-CHU-UFPA (HUJBB e HUBFS)";" Complexo Hospitalar Universitário da Universidade Federal do Pará – Hospitais Universitários João de Barros Barreto e Bettina Ferro de Souza"
"ECT ";" Empresa Brasileira de Correios e Telégrafos"
"ELETROBRÁS ";" Centrais Elétricas Brasileiras S.A."
"ELETRONORTE ";" Centrais Elétricas do Norte do Brasil S.A."
"ELETRONUCLEAR ";" Eletrobrás Termonuclear S.A."
"EMBRAPA ";" Empresa Brasileira de Pesquisa Agropecuária"
"EMGEA ";" Empresa Gestora de Ativos"
"EMGEPRON ";" Empresa Gerencial de Projetos Navais"
"ENAP ";" Fundação Escola Nacional de Administração Pública"
"EPE ";" Empresa de Pesquisa Energética"
"EPL ";" Empresa de Planejamento e Logística S.A."
"ESG ";" Escola Superior de Guerra"
"FBN ";" Fundação Biblioteca Nacional"
"FCP ";" Fundação Cultural Palmares"
"FCRB ";" Fundação Casa de Rui Barbosa"
"FINEP ";" Financiadora de Estudos e Projetos"
"FIOCRUZ ";" Fundação Oswaldo Cruz"
"FNDE ";" Fundo Nacional de Desenvolvimento da Educação"
"FUNAG ";" Fundação Alexandre de Gusmão"
"FUNAI ";" Fundação Nacional do Índio"
"FUNARTE ";" Fundação Nacional de Artes"
"FUNASA ";" Fundação Nacional de Saúde"
"FUNDACENTRO ";" Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho"
"FUNDAJ ";" Fundação Joaquim Nabuco"
"FUNPRESP  ";" Fundação de Previdência Complementar do Servidor Público Federal do Poder Executivo"
"FUNRei ";" Fundação Universidade Federal de São João Del Rei"
"FURG ";" Fundação Universidade Federal do Rio Grande"
"FURNAS ";" Furnas Centrais Elétricas S.A."
"GSI-PR ";" Gabinete de Segurança Institucional da Presidência da República"
"HCPA ";" Hospital de Clínicas de Porto Alegre"
"HEMOBRÁS ";" Empresa Brasileira de Hemoderivados e Biotecnologia"
"HFA ";" Hospital das Forças Armadas"
"HNSC ";" Hospital Nossa Senhora da Conceição S.A."
"IBAMA ";" Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis"
"IBC ";" Instituto Benjamin Constant"
"IBGE ";" Fundação Instituto Brasileiro de Geografia e Estatística"
"IBICT ";" Instituto Brasileiro de Informação em Ciência e Tecnologia"
"IBRAM ";" Instituto Brasileiro de Museus"
"ICMBio ";" Instituto Chico Mendes de Conservação da Biodiversidade"
"IF BAIANO ";" Instituto Federal de Educação, Ciência e Tecnologia Baiano"
"IF FLUMINENSE ";" Instituto Federal de Educação, Ciência e Tecnologia Fluminense"
"IF GOIANO ";" Instituto Federal de Educação, Ciência e Tecnologia Goiano"
"IFAC ";" Instituto Federal de Educação, Ciência e Tecnologia do Acre"
"IFAL ";" Instituto Federal de Educação, Ciência e Tecnologia de Alagoas"
"IFAM ";" Instituto Federal de Educação, Ciência e Tecnologia do Amazonas"
"IFAP ";" Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
"IFB ";" Instituto Federal de Educação, Ciência e Tecnologia de Brasília"
"IFBA ";" Instituto Federal de Educação, Ciência e Tecnologia da Bahia"
"IFC ";" Instituto Federal de Educação, Ciência e Tecnologia Catarinense"
"IFCE ";" Instituto Federal de Educação, Ciência e Tecnologia do Ceará"
"IFES ";" Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo"
"IFFAR ";" Instituto Federal de Educação, Ciência e Tecnologia Farroupilha"
"IFG ";" Instituto Federal de Educação, Ciência e Tecnologia de Goiás"
"IFMA ";" Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
"IFMG ";" Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais"
"IFMGSE ";" Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais"
"IFMS ";" Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul"
"IFMT ";" Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso"
